adj,total,person_ratio,product_ratio,other_ratio,person_count,product_count,other_count
dear,138,0.014492753623188406,0.0,0.9855072463768116,2,0,136
ugly,559,0.014311270125223614,0.012522361359570662,0.9731663685152058,8,7,544
More,213,0.014084507042253521,0.028169014084507043,0.9577464788732394,3,6,204
official,143,0.013986013986013986,0.006993006993006993,0.9790209790209791,2,1,140
striped,143,0.013986013986013986,0.04895104895104895,0.9370629370629371,2,7,134
authentic,290,0.013793103448275862,0.013793103448275862,0.9724137931034482,4,4,282
graphic,146,0.0136986301369863,0.1232876712328767,0.863013698630137,2,18,126
foam,147,0.013605442176870748,0.047619047619047616,0.9387755102040817,2,7,138
disappointed,221,0.013574660633484163,0.06334841628959276,0.9230769230769231,3,14,204
NICE,148,0.013513513513513514,0.2635135135135135,0.722972972972973,2,39,107
sparkly,375,0.013333333333333334,0.010666666666666666,0.976,5,4,366
round,682,0.013196480938416423,0.013196480938416423,0.9736070381231672,9,9,664
pastel,154,0.012987012987012988,0.006493506493506494,0.9805194805194806,2,1,151
beige,318,0.012578616352201259,0.0220125786163522,0.9654088050314465,4,7,307
mini,558,0.012544802867383513,0.026881720430107527,0.9605734767025089,7,15,536
male,240,0.0125,0.025,0.9625,3,6,231
nasty,161,0.012422360248447204,0.018633540372670808,0.968944099378882,2,3,156
minimalist,163,0.012269938650306749,0.0,0.9877300613496932,2,0,161
GOOD,166,0.012048192771084338,0.3253012048192771,0.6626506024096386,2,54,110
plain,750,0.012,0.037333333333333336,0.9506666666666667,9,28,713
exact,1547,0.011635423400129283,0.005171299288946348,0.9831932773109243,18,8,1521
HUGE,173,0.011560693641618497,0.04046242774566474,0.9479768786127167,2,7,164
lighter,1132,0.011484098939929329,0.02561837455830389,0.9628975265017667,13,29,1090
pale,264,0.011363636363636364,0.03787878787878788,0.9507575757575758,3,10,251
generic,179,0.0111731843575419,0.00558659217877095,0.9832402234636871,2,1,176
layered,180,0.011111111111111112,0.0,0.9888888888888889,2,0,178
resistant,287,0.010452961672473868,0.041811846689895474,0.9477351916376306,3,12,272
longer,1730,0.010404624277456647,0.016184971098265895,0.9734104046242774,18,28,1684
stiff,775,0.01032258064516129,0.02193548387096774,0.967741935483871,8,17,750
Little,301,0.009966777408637873,0.019933554817275746,0.9700996677740864,3,6,292
Italian,101,0.009900990099009901,0.0297029702970297,0.9603960396039604,1,3,97
cubic,102,0.00980392156862745,0.00980392156862745,0.9803921568627451,1,1,100
true,3271,0.009782940996637114,0.025680220116172426,0.9645368388871904,32,84,3155
shiny,1438,0.009735744089012517,0.009040333796940195,0.9812239221140473,14,13,1411
Hawaiian,103,0.009708737864077669,0.0,0.9902912621359223,1,0,102
Material,104,0.009615384615384616,0.028846153846153848,0.9615384615384616,1,3,100
glossy,105,0.009523809523809525,0.009523809523809525,0.9809523809523809,1,1,103
giant,421,0.009501187648456057,0.0166270783847981,0.9738717339667459,4,7,410
slick,211,0.009478672985781991,0.009478672985781991,0.981042654028436,2,2,207
Such,212,0.009433962264150943,0.0047169811320754715,0.9858490566037735,2,1,209
electronic,106,0.009433962264150943,0.0,0.9905660377358491,1,0,105
fluffy,212,0.009433962264150943,0.02830188679245283,0.9622641509433962,2,6,204
sturdier,106,0.009433962264150943,0.03773584905660377,0.9528301886792453,1,4,101
tummy,745,0.009395973154362415,0.005369127516778523,0.9852348993288591,7,4,734
dead,214,0.009345794392523364,0.014018691588785047,0.9766355140186916,2,3,209
vintage,431,0.009280742459396751,0.016241299303944315,0.974477958236659,4,7,420
sophisticated,108,0.009259259259259259,0.009259259259259259,0.9814814814814815,1,1,106
classic,973,0.009249743062692703,0.014388489208633094,0.9763617677286742,9,14,950
matching,326,0.009202453987730062,0.012269938650306749,0.9785276073619632,3,4,319
Total,327,0.009174311926605505,0.0030581039755351682,0.9877675840978594,3,1,323
ready,109,0.009174311926605505,0.0,0.9908256880733946,1,0,108
terrific,218,0.009174311926605505,0.0045871559633027525,0.9862385321100917,2,1,215
satisfied,220,0.00909090909090909,0.0,0.990909090909091,2,0,218
substantial,332,0.009036144578313253,0.015060240963855422,0.9759036144578314,3,5,324
neutral,444,0.009009009009009009,0.02027027027027027,0.9707207207207207,4,9,431
woven,111,0.009009009009009009,0.009009009009009009,0.9819819819819819,1,1,109
sheer,667,0.008995502248875561,0.01649175412293853,0.974512743628186,6,11,650
darker,779,0.008985879332477536,0.021822849807445442,0.9691912708600771,7,17,755
pendant,447,0.008948545861297539,0.006711409395973154,0.9843400447427293,4,3,440
